terme;categorie;forme_privilegiee;variantes;frequence;documents;sigle_developpement;statut;source_normative;exemple_1;exemple_2;note
Menschen mit Behinderung;handicap;Menschen mit Behinderung;;469;70;;neutre;;Aus dem Schattenbericht von Inclusion Handicap (2017) geht hervor, dass Jugendliche mit Behinderungen in der Schweiz bereits beim Zugang zur Berufsbildung mit zahlreichen, teils schweren Benachteiligu;Aus dem Schattenbericht von Inclusion Handicap (2017) geht hervor, dass Jugendliche mit Behinderungen in der Schweiz bereits beim Zugang zur Berufsbildung mit zahlreichen, teils schweren Benachteiligu;
Behinderte;handicap;Behinderte;;34;20;;neutre;;Bericht «Gehörlose und Hörbehinderte und ihr Zugang zur Berufsbildung»;Um das gegenseitige Verständnis für die Komplexität des jeweils anderen Systems zu fördern, hat das Staatssekretariat für Bildung, Forschung und Innovation im Rahmen des Projekts «Gehörlose und Hörbeh;
Beeinträchtigung;handicap;Beeinträchtigung;;417;88;;neutre;;Zudem beschreibt der Bericht, wie Jugendliche mit Gehörlosigkeit oder einer Hörbehinderung vor und während der beruflichen Grundbildung unterstützt werden und was das Umfeld tun kann. Lernende mit Bee;Zusammenfassend zeigt sich, dass in der Berufsbildung auf der Basis der bestehenden Gesetzgebung ein vielfältiges Instrumentarium an Massnahmen und Unterstützungsangeboten für Jugendliche und Erwachse;
Förderbedarf;handicap;Förderbedarf;;91;41;;neutre;;Lulaj, T. (2023). Die Bedeutung der Sonderpädagogik auf der Sekundarstufe II. Wie Ausbildungen für Jugendliche mit Förderbedarf gelingen können. Schweizerische Zeitschrift für Heilpädagogik, 29 (1), 2;Schellenberg, C. & Hoffmann, C. (2016). Fit für die Berufslehre. Forschungsbericht zur Berufswahlvorbereitung an der Schule bei Jugendlichen mit besonderem Förderbedarf. Edition SZH/CSPS.;
KI;sigle;KI;;278;34;ging es in der repräsentativen Studie um die Schwerpunkte Künstliche Intelligenz;neutre;;;;
BRK;sigle;BRK;;137;45;Behindertenrechtskonvention;neutre;;;;
SHP;sigle;SHP;;86;13;innen;neutre;;;;
PDA;sigle;PDA;;57;5;Pathological Demand Avoidance;neutre;;;;
UDL;sigle;UDL;;55;12;Das Universal Design for Learning;neutre;;;;
UK;sigle;UK;;54;12;Kniereiter- und Bewegungslieder sowie Hilfsmittel der Unterstützten Kommunikation;neutre;;;;
WG;sigle;WG;;52;3;Die räumliche und organisatorische Lösung ist angelehnt an ein Wohngemeinschafts;neutre;;;;
HFE;sigle;HFE;;45;4;die von der Heilpädagogischen Früherziehung;neutre;;;;
EBA;sigle;EBA;;37;11;Zweijährige berufliche Grundbildung mit eidgenössischem Berufsattest;neutre;;;;
ASS;sigle;ASS;;36;13;Autismus-Spektrum-Störungen;neutre;;;;
SD;sigle;SD;;30;8;und Standardabweichungen;neutre;;;;
LRS;sigle;LRS;;26;5;Eine Schülerin mit Lese-Rechtschreibstörung;neutre;;;;
IKL;sigle;IKL;;23;2;Dieser Beitrag stellt das Integrationsförderliche Kooperative Lernen;neutre;;;;
BSV;sigle;BSV;;20;10;Das Bundesamt für Sozialversicherungen;neutre;;;;
AR;sigle;AR;;20;2;Augmented Reality;neutre;;;;
EFZ;sigle;EFZ;;17;8;und Eidgenössisches Fähigkeitszeugnis;neutre;;;;
EASNIE;sigle;EASNIE;;15;6;European Agency for Special Needs and Inclusive Education;neutre;;;;
PMT;sigle;PMT;;12;2;Die Psychomotoriktherapie;neutre;;;;
BV;sigle;BV;;11;5;lagen des Nachteilsausgleichs finden sich in der Schweizerischen Bundesverfassung;neutre;;;;
SKBF;sigle;SKBF;;11;9;oring und beauftragt die Schweizerische Koordinationsstelle für Bildungsforschung;neutre;;;;
ESE;sigle;ESE;;11;5;iale Entwicklung in der Pädagogik der Erziehungshilfe und bei Verhaltensstörungen;neutre;;;;
MA;sigle;MA;;10;9;Junior Researcher;neutre;;;;
USA;sigle;USA;;10;9;Als sie in Illinois;neutre;;;;
CIIP;sigle;CIIP;;10;2;der Interkantonalen Erziehungsdirektorenkonferenz der Westschweiz und des Tessins;neutre;;;;
RLP;sigle;RLP;;10;2;zum wahrgenommenen Handeln der Schulleitung aus Sicht der Regellehrpersonen;neutre;;;;
WCAG;sigle;WCAG;;9;5;Im Jahr 2020 wurden die Web Content Accessibility Guidelines;neutre;;;;
