traditionnelle;rectifiee;categorie;source
abîme;abime;circonflexe;Wikipedia:Rectifications-1990
abîmer;abimer;circonflexe;Wikipedia:Rectifications-1990
abîmé;abimé;circonflexe;Wikipedia:Rectifications-1990
août;aout;circonflexe;Wikipedia:Rectifications-1990
apparaître;apparaitre;circonflexe;Wikipedia:Rectifications-1990
apparaît;apparait;circonflexe;Wikipedia:Rectifications-1990
boîte;boite;circonflexe;Wikipedia+Wiktionnaire:Rectifications-1990
boîtier;boitier;circonflexe;Wikipedia:Rectifications-1990
boîtes;boites;circonflexe;Wikipedia:Rectifications-1990
brûler;bruler;circonflexe;Wiktionnaire:Annexe-Rectifications-1990
brûlure;brulure;circonflexe;Wiktionnaire:Annexe-Rectifications-1990
brûlant;brulant;circonflexe;Wiktionnaire:Annexe-Rectifications-1990
bûche;buche;circonflexe;Wiktionnaire:Annexe-Rectifications-1990
bûcheron;bucheron;circonflexe;Wiktionnaire:Annexe-Rectifications-1990
bûchette;buchette;circonflexe;Wiktionnaire:Annexe-Rectifications-1990
chaîne;chaine;circonflexe;Wikipedia:Rectifications-1990
chaînes;chaines;circonflexe;Wikipedia:Rectifications-1990
chaînette;chainette;circonflexe;Wikipedia:Rectifications-1990
chaînon;chainon;circonflexe;Wikipedia:Rectifications-1990
comparaître;comparaitre;circonflexe;Wikipedia:Rectifications-1990
comparaît;comparait;circonflexe;Wikipedia:Rectifications-1990
connaître;connaitre;circonflexe;Wikipedia:Rectifications-1990
connaît;connait;circonflexe;Wikipedia:Rectifications-1990
coût;cout;circonflexe;Wikipedia:Rectifications-1990
coûts;couts;circonflexe;Wikipedia:Rectifications-1990
coûter;couter;circonflexe;Wikipedia:Rectifications-1990
coûteux;couteux;circonflexe;Wikipedia:Rectifications-1990
coûteuse;couteuse;circonflexe;Wikipedia:Rectifications-1990
croûte;croute;circonflexe;Wikipedia:Rectifications-1990
croûtes;croutes;circonflexe;Wikipedia:Rectifications-1990
croûton;crouton;circonflexe;Wikipedia:Rectifications-1990
dégoût;degout;circonflexe;Wikipedia:Rectifications-1990
dégoûtant;degoutant;circonflexe;Wikipedia:Rectifications-1990
dégoûté;degouté;circonflexe;Wikipedia:Rectifications-1990
déplaît;deplait;circonflexe;Wikipedia:Rectifications-1990
disparaître;disparaitre;circonflexe;Wikipedia:Rectifications-1990
disparaît;disparait;circonflexe;Wikipedia:Rectifications-1990
emboîter;emboiter;circonflexe;Wikipedia:Rectifications-1990
emboîtement;emboitement;circonflexe;Wikipedia:Rectifications-1990
déboîter;deboiter;circonflexe;Wikipedia:Rectifications-1990
enchaîner;enchainer;circonflexe;Wikipedia:Rectifications-1990
enchaînement;enchainement;circonflexe;Wikipedia:Rectifications-1990
entraîner;entrainer;circonflexe;Wikipedia:Rectifications-1990
entraînement;entrainement;circonflexe;Wikipedia:Rectifications-1990
entraîneur;entraineur;circonflexe;Wikipedia:Rectifications-1990
entraîneuse;entraineuse;circonflexe;Wikipedia:Rectifications-1990
entraîné;entrainé;circonflexe;Wikipedia:Rectifications-1990
entraînée;entrainée;circonflexe;Wikipedia:Rectifications-1990
épître;epitre;circonflexe;Wikipedia:Rectifications-1990
épîtres;epitres;circonflexe;Wikipedia:Rectifications-1990
flûte;flute;circonflexe;Wikipedia:Rectifications-1990
flûtiste;flutiste;circonflexe;Wikipedia:Rectifications-1990
fraîche;fraiche;circonflexe;Wikipedia:Rectifications-1990
fraîcheur;fraicheur;circonflexe;Wikipedia:Rectifications-1990
fraîchement;fraichement;circonflexe;Wikipedia:Rectifications-1990
gîte;gite;circonflexe;Wikipedia:Rectifications-1990
gîtes;gites;circonflexe;Wikipedia:Rectifications-1990
goût;gout;circonflexe;Wikipedia:Rectifications-1990
goûter;gouter;circonflexe;Wiktionnaire:Annexe-Rectifications-1990
goûteur;gouteur;circonflexe;Wikipedia:Rectifications-1990
huître;huitre;circonflexe;Wikipedia:Rectifications-1990
huîtres;huitres;circonflexe;Wikipedia:Rectifications-1990
île;ile;circonflexe;Wikipedia:Rectifications-1990
îles;iles;circonflexe;Wikipedia:Rectifications-1990
îlot;ilot;circonflexe;Wikipedia:Rectifications-1990
îlots;ilots;circonflexe;Wikipedia:Rectifications-1990
maître;maitre;circonflexe;Wikipedia+Wiktionnaire:Rectifications-1990
maîtresse;maitresse;circonflexe;Wikipedia:Rectifications-1990
maîtrise;maitrise;circonflexe;Wikipedia:Rectifications-1990
maîtriser;maitriser;circonflexe;Wikipedia:Rectifications-1990
maîtrisant;maitrisant;circonflexe;Wikipedia:Rectifications-1990
maîtrisable;maitrisable;circonflexe;Wikipedia:Rectifications-1990
naître;naitre;circonflexe;Wikipedia:Rectifications-1990
naît;nait;circonflexe;Wikipedia:Rectifications-1990
paraître;paraitre;circonflexe;Wikipedia+Wiktionnaire:Rectifications-1990
paraît;parait;circonflexe;Wikipedia:Rectifications-1990
piqûre;piqure;circonflexe;Wikipedia+Wiktionnaire:Rectifications-1990
piqûres;piqures;circonflexe;Wikipedia:Rectifications-1990
plaît;plait;circonflexe;Wikipedia:Rectifications-1990
presqu'île;presqu'ile;circonflexe;Wikipedia:Rectifications-1990
rafraîchir;rafraichir;circonflexe;Wikipedia:Rectifications-1990
rafraîchissement;rafraichissement;circonflexe;Wikipedia:Rectifications-1990
rafraîchissant;rafraichissant;circonflexe;Wikipedia:Rectifications-1990
ragoût;ragout;circonflexe;Wikipedia:Rectifications-1990
reconnaître;reconnaitre;circonflexe;Wikipedia:Rectifications-1990
reconnaît;reconnait;circonflexe;Wikipedia:Rectifications-1990
renaître;renaitre;circonflexe;Wikipedia:Rectifications-1990
renaît;renait;circonflexe;Wikipedia:Rectifications-1990
sûreté;sureté;circonflexe;WebSearch(dictionnaire.lerobert.com):Rectifications-1990
traîne;traine;circonflexe;Wikipedia:Rectifications-1990
traîneau;traineau;circonflexe;Wikipedia:Rectifications-1990
traîneaux;traineaux;circonflexe;Wikipedia:Rectifications-1990
traîner;trainer;circonflexe;Wikipedia:Rectifications-1990
traînard;trainard;circonflexe;Wikipedia:Rectifications-1990
traînée;trainée;circonflexe;Wikipedia:Rectifications-1990
traître;traitre;circonflexe;Wikipedia:Rectifications-1990
traîtrise;traitrise;circonflexe;Wikipedia:Rectifications-1990
traîtreusement;traitreusement;circonflexe;Wikipedia:Rectifications-1990
voûte;voute;circonflexe;Wikipedia:Rectifications-1990
voûté;vouté;circonflexe;Wikipedia:Rectifications-1990
voûtement;voutement;circonflexe;Wikipedia:Rectifications-1990
accroître;accroitre;circonflexe;WebSearch(lerobert.com):Rectifications-1990
accroît;accroit;circonflexe;WebSearch(lerobert.com):Rectifications-1990
décroître;decroitre;circonflexe;WebSearch(lerobert.com):Rectifications-1990
décroît;decroit;circonflexe;WebSearch(lerobert.com):Rectifications-1990
événement;évènement;grave;Wikipedia:Rectifications-1990
événements;évènements;grave;Wikipedia:Rectifications-1990
réglementaire;règlementaire;grave;Wikipedia:Rectifications-1990
réglementation;règlementation;grave;WebSearch(lerobert.com):Rectifications-1990
réglementer;règlementer;grave;WebSearch(lerobert.com):Rectifications-1990
réglementé;règlementé;grave;WebSearch(lerobert.com):Rectifications-1990
réglementairement;règlementairement;grave;WebSearch(lerobert.com):Rectifications-1990
allégement;allègement;grave;WebSearch(lerobert.com):Rectifications-1990
allégements;allègements;grave;WebSearch(lerobert.com):Rectifications-1990
empiétement;empiètement;grave;WebSearch(lerobert.com):Rectifications-1990
abrégement;abrègement;grave;WebSearch(lerobert.com):Rectifications-1990
ambiguë;ambigüe;trema;Wikipedia:Rectifications-1990
ambiguës;ambigües;trema;Wikipedia:Rectifications-1990
ambiguïté;ambigüité;trema;Wikipedia:Rectifications-1990
ambiguïtés;ambigüités;trema;Wikipedia:Rectifications-1990
ambigument;ambigüment;trema;Wikipedia:Rectifications-1990
aiguë;aigüe;trema;Wikipedia:Rectifications-1990
aiguës;aigües;trema;Wikipedia:Rectifications-1990
contiguë;contigüe;trema;Wikipedia:Rectifications-1990
contiguës;contigües;trema;Wikipedia:Rectifications-1990
contiguïté;contigüité;trema;Wikipedia:Rectifications-1990
exiguë;exigüe;trema;Wikipedia:Rectifications-1990
exiguës;exigües;trema;Wikipedia:Rectifications-1990
exiguïté;exigüité;trema;Wikipedia:Rectifications-1990
gageure;gageüre;trema;Wiktionnaire:Annexe-Rectifications-1990
arguer;argüer;trema;Wiktionnaire:Annexe-Rectifications-1990
vingt et un;vingt-et-un;numeraux;Wikipedia:Rectifications-1990
vingt et une;vingt-et-une;numeraux;Wikipedia:Rectifications-1990
vingt et unième;vingt-et-unième;numeraux;Wikipedia:Rectifications-1990
trente et un;trente-et-un;numeraux;Wikipedia:Rectifications-1990
trente et une;trente-et-une;numeraux;Wikipedia:Rectifications-1990
trente et unième;trente-et-unième;numeraux;Wikipedia:Rectifications-1990
quarante et un;quarante-et-un;numeraux;Wikipedia:Rectifications-1990
quarante et une;quarante-et-une;numeraux;Wikipedia:Rectifications-1990
quarante et unième;quarante-et-unième;numeraux;Wikipedia:Rectifications-1990
cinquante et un;cinquante-et-un;numeraux;Wikipedia:Rectifications-1990
cinquante et une;cinquante-et-une;numeraux;Wikipedia:Rectifications-1990
cinquante et unième;cinquante-et-unième;numeraux;Wikipedia:Rectifications-1990
soixante et un;soixante-et-un;numeraux;Wikipedia:Rectifications-1990
soixante et une;soixante-et-une;numeraux;Wikipedia:Rectifications-1990
soixante et onze;soixante-et-onze;numeraux;Wikipedia:Rectifications-1990
soixante et unième;soixante-et-unième;numeraux;Wikipedia:Rectifications-1990
cent un;cent-un;numeraux;Wikipedia:Rectifications-1990
cent une;cent-une;numeraux;Wikipedia:Rectifications-1990
cent unième;cent-unième;numeraux;Wikipedia:Rectifications-1990
mille un;mille-un;numeraux;Wikipedia:Rectifications-1990
mille une;mille-une;numeraux;Wikipedia:Rectifications-1990
week-end;weekend;soudure;Wikipedia+Wiktionnaire:Rectifications-1990
week-ends;weekends;soudure;Wikipedia:Rectifications-1990
porte-monnaie;portemonnaie;soudure;Wikipedia:Rectifications-1990
